design,def_file,hpwl
mgc_superblue16_a,output/iterations/iteration_7_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_8_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_0_initial.def,
mgc_superblue16_a,output/iterations/iteration_1_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_6_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_9_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_3_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_4_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_5_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_10_rl_training.def,
mgc_superblue16_a,output/iterations/iteration_2_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_7_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_8_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_0_initial.def,
mgc_des_perf_a,output/iterations/iteration_1_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_6_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_9_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_3_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_4_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_5_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_10_rl_training.def,
mgc_des_perf_a,output/iterations/iteration_2_rl_training.def,
mgc_des_perf_1,output/iterations/iteration_8_rl_training.def,
mgc_des_perf_1,output/iterations/iteration_0_initial.def,
mgc_des_perf_1,output/iterations/iteration_1.def,
mgc_des_perf_1,output/iterations/iteration_2.def,
mgc_des_perf_1,output/iterations/iteration_6_rl_training.def,
mgc_des_perf_1,output/iterations/iteration_4_rl_training.def,
mgc_des_perf_1,output/iterations/iteration_10_rl_training.def,
mgc_des_perf_1,output/iterations/iteration_2_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_7_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_8_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_0_initial.def,
mgc_pci_bridge32_b,output/iterations/iteration_1_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_6_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_9_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_3_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_4_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_5_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_10_rl_training.def,
mgc_pci_bridge32_b,output/iterations/iteration_2_rl_training.def,
mgc_fft_a,output/iterations/iteration_7_rl_training.def,
